11-20-2017 [03:35:09] | Script started #############################################################
11-20-2017 [03:35:09] | Start installation script
11-20-2017 [03:35:09] | Memory at 21661568
11-20-2017 [03:35:09] | CHECKING FOR INTERNET - The network connection passed
11-20-2017 [03:35:09] | CHECKING FOR THE LATEST VERSION
11-20-2017 [03:35:09] | distro false
11-20-2017 [03:35:09] | codename false
11-20-2017 [03:35:09] | distro_version false
11-20-2017 [03:35:09] | email false
11-20-2017 [03:35:09] | ip false
11-20-2017 [03:35:10] | ownergroup false
11-20-2017 [03:35:10] | tzone false
11-20-2017 [03:35:10] | webserverdir false
11-20-2017 [03:35:10] | pkgmgr false
11-20-2017 [03:35:10] | fqdn false
11-20-2017 [03:35:10] | user false
11-20-2017 [03:35:10] | webserver false
11-20-2017 [03:35:10] | databaseserver false
11-20-2017 [03:35:10] | appserver false
11-20-2017 [03:35:10] | emailserver false
11-20-2017 [03:35:10] | fileserver false
11-20-2017 [03:35:10] | msgserver false
11-20-2017 [03:35:10] | proxyserver false
11-20-2017 [03:35:10] | servetype false
11-20-2017 [03:35:10] | DISTRO parameter or value does not exist - set to default value
11-20-2017 [03:35:10] | Opening configuration file for modification
11-20-2017 [03:35:10] | Retrieving line number for distro
11-20-2017 [03:35:10] | distro was not found - Adding to configuration file with value of Ubuntu
11-20-2017 [03:35:10] | CODENAME parameter or value does not exist - set to default value
11-20-2017 [03:35:10] | Opening configuration file for modification
11-20-2017 [03:35:10] | Retrieving line number for codename
11-20-2017 [03:35:10] | codename was not found - Adding to configuration file with value of artful
11-20-2017 [03:35:10] | DISTVERSION parameter or value does not exist - set to default value
11-20-2017 [03:35:10] | Opening configuration file for modification
11-20-2017 [03:35:10] | Retrieving line number for distro_version
11-20-2017 [03:35:10] | distro_version was not found - Adding to configuration file with value of 17.10
11-20-2017 [03:35:10] | Email parameter or value does not exist - set to default value
11-20-2017 [03:35:10] | Opening configuration file for modification
11-20-2017 [03:35:10] | Retrieving line number for email
11-20-2017 [03:35:10] | email was not found - Adding to configuration file with value of disabled
11-20-2017 [03:35:10] | IP parameter or value does not exist - set to default value
11-20-2017 [03:35:10] | Opening configuration file for modification
11-20-2017 [03:35:10] | Retrieving line number for ip
11-20-2017 [03:35:10] | ip was not found - Adding to configuration file with value of 127.0.0.1
11-20-2017 [03:35:10] | OWNERGROUP parameter or value does not exist - set to default value
11-20-2017 [03:35:10] | Opening configuration file for modification
11-20-2017 [03:35:10] | Retrieving line number for ownergroup
11-20-2017 [03:35:10] | ownergroup was not found - Adding to configuration file with value of www-data:www-data
11-20-2017 [03:35:10] | TZONE parameter or value does not exist - set to default value
11-20-2017 [03:35:10] | Opening configuration file for modification
